quantity,value,unit,geographic_boundary,network_level,year,customer_category,model_use,evidence_role,spatial_boundary_status
LV annual withdrawal,156851.144,MWh/y,LV operator territory,LV,2025,LV withdrawals,building electricity allocation,input_constraint,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
LV coincident peak,40.962,MW,LV operator territory,LV,2025,LV withdrawals,building peak allocation,input_constraint,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
LV served population,68799.0,inhabitants,LV operator territory,--,2025,inhabitants,common population allocation,input_constraint,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
LV reporting area,57.53,km2,LV operator territory,--,2025,geographic area,boundary audit only; polygon unavailable,diagnostic,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
MS/LV withdrawal locations,105.0,count,LV operator territory,MS/LV,2025,withdrawal locations,synthetic location count; not physical transformer count,input_constraint,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
MS/LV installed capacity,216.71,MVA,LV operator territory,MS/LV,2025,installed transformation,equivalent transformation portfolio,input_constraint,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
"Water delivery, total",5600000.0,m3/y,water operator reporting territory,distribution,2024,retail plus wholesale,accounting identity only,reported_total,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
"Water delivery, wholesale",1500000.0,m3/y,downstream distributor interconnection,boundary transfer,2024,wholesale,excluded from building demand and local wastewater,boundary_exclusion,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
"Water delivery, direct retail",4100000.0,m3/y,modelled retail-service adapter,distribution,2024,derived total minus wholesale,building water allocation,input_constraint,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
Municipal sewer inventory,249.0,km,municipal drainage territory,collection,2026,combined/sanitary/storm/force main,held-out aggregate comparison,held_out_comparison,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
District-heat sales,87500.0,MWh/y,district-heat customer portfolio,distribution,2024,retail heat sales,selected-customer demand allocation,input_constraint,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
District-heat sales contracts,841.0,count,district-heat customer portfolio,distribution,2024,sales contracts,represented contract count; not verified buildings,input_constraint,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
District-heat route,52.0,km,district-heat network,distribution,2024,route length,held-out comparison,held_out_comparison,"sector aggregate is internally matched to its published reporting envelope; no public machine-readable utility polygon was available, so the common service mask remains a declared class-C adapter"
